key	file_path	type	description	min_size	max_size	first_julian_day	last_julian_day	texture
Kahina	Data/Person/Japan/NaraPeriod/Kahina.tsv	view_person	カヒナ	0	1000	0	9948341	Kahina
IsidoreofSeville	Data/Person/Japan/NaraPeriod/Isidore of Seville.tsv	view_person	イシドールス	0	1000	0	9948341	Isidore
JustinianII	Data/Person/Europe/Byzantine/7th century/Justinian II.tsv	view_person	ユスティニアノス2世	0	1000	0	9948341	Justinian II
ConstansII	Data/Person/Europe/Byzantine/7th century/Constans II.tsv	view_person	コンスタンス2世	0	1000	0	9948341	Constans II
Samo	Data/Person/Europe/7th century/Samo.tsv	view_person	???	0	1000	0	9948341	Samo
Bori_Shad	Data/Person/Japan/NaraPeriod/Bori_Shad.tsv	view_person	步利設	0	1000	0	9948341	Bori_Shad
Ashina_Jiesheshuai	Data/Person/Japan/NaraPeriod/Ashina_Jiesheshuai.tsv	view_person	阿史那結社率	0	1000	0	9948341	Ashina_Jiesheshuai
Qibi_Heli	Data/Person/Japan/NaraPeriod/Qibi_Heli.tsv	view_person	契苾何力	0	1000	0	9948341	Qibi_Heli
Tonyukuk	Data/Person/Japan/NaraPeriod/Tonyukuk.tsv	view_person	暾欲谷	0	1000	0	9948341	Tonyukuk
Jayadevi	Data/Person/Japan/NaraPeriod/Jayadevi.tsv	view_person	ジャヤデヴィ	0	1000	0	9948341	Jayadevi
Sri_Jayanasa	Data/Person/Japan/NaraPeriod/Sri_Jayanasa.tsv	view_person	シュリー・ジャヤナサ	0	1000	0	9948341	Sri_Jayanasa
Wukong	Data/Person/Japan/NaraPeriod/Wukong.tsv	view_person	梧空	0	1000	0	9948341	Wukong
Amoghavajra	Data/Person/Japan/NaraPeriod/Amoghavajra.tsv	view_person	不空金剛	0	1000	0	9948341	Amoghavajra
Subhakarasimha	Data/Person/Japan/NaraPeriod/Subhakarasimha.tsv	view_person	善無畏	0	1000	0	9948341	Subhakarasimha
Vajrabodhi	Data/Person/Japan/NaraPeriod/Vajrabodhi.tsv	view_person	金剛智	0	1000	0	9948341	Vajrabodhi
Yijing	Data/Person/Japan/NaraPeriod/Yijing.tsv	view_person	義浄	0	1000	0	9948341	Yijing
Brahmagupta	Data/Person/Japan/NaraPeriod/Brahmagupta.tsv	view_person	ブラフマグプタ	0	1000	0	9948341	Brahmagupta
Abe_no_Nakamaro	Data/Person/Japan/NaraPeriod/Abe_no_Nakamaro.tsv	view_person	阿倍仲麻呂	0	1000	0	9948341	Abe_no_Nakamaro
OnoNoImoko	Data/Person/Japan/AsukaPeriod/OnoNoImoko.tsv	view_person	小野妹子	0	1000	1930749	1948341	OnoNoImoko
SuikoTenno	Data/Person/Japan/AsukaPeriod/SuikoTenno.tsv	view_person	推古天皇	0	1000	1923547	1950540	SuikoTenno
ShotokuTaishi	Data/Person/Japan/AsukaPeriod/ShotokuTaishi.tsv	view_person	聖徳太子	0	1000	1930749	1948341	SyotokuTaishi
Wonhyo	Data/Person/Japan/NaraPeriod/Wonhyo.tsv	view_person	元暁	0	1000	0	9948341	Wonhyo
Hyecho	Data/Person/Japan/NaraPeriod/Hyecho.tsv	view_person	慧超	0	1000	0	9948341	Hyecho
Uisang	Data/Person/Japan/NaraPeriod/Uisang.tsv	view_person	義湘	0	1000	0	9948341	Uisang
Jang_Bogo	Data/Person/Japan/NaraPeriod/Jang_Bogo.tsv	view_person	張保皐	0	1000	0	9948341	Jang_Bogo
Kim_Yu-sin	Data/Person/Japan/NaraPeriod/Kim_Yu-sin.tsv	view_person	金庾信	0	1000	0	9948341	Kim_Yu-sin
Kukai	Data/Person/Japan/NaraPeriod/Kukai.tsv	view_person	空海	0	1000	0	9948341	Kukai
Gyoki	Data/Person/Japan/NaraPeriod/Gyoki.tsv	view_person	行基	0	1000	0	9948341	Gyoki
Saicho	Data/Person/Japan/NaraPeriod/Saicho.tsv	view_person	最澄	0	1000	0	9948341	Saicho
Jianzhen	Data/Person/Japan/NaraPeriod/Jianzhen.tsv	view_person	鑑真	0	1000	0	9948341	Jianzhen
Xuanzang	Data/Person/Japan/NaraPeriod/Xuanzang.tsv	view_person	玄奘	0	1000	0	9948341	Xuanzang
BjarniHerjolfsson	Data/Person/Norway/Bjarni Herjolfsson.tsv	view_person	ビャルニ・ヘルヨールフソン	0	1000	0	9948341	Leif Erikson
GunnbjornUlfsson	Data/Person/Norway/Gunnbjorn Ulfsson.tsv	view_person	グンビョルン・ウルヴソン	0	1000	0	9948341	Leif Erikson
Snaebjorngalti	Data/Person/Norway/Snaebjorn galti.tsv	view_person	スネーブヨルン・ガルティ	0	1000	0	9948341	Leif Erikson
ThorfinnKarlsefni	Data/Person/Norway/Thorfinn Karlsefni.tsv	view_person	ソルフィン・カルルセフニ	0	1000	0	9948341	Leif Erikson
ThorvaldEiriksson	Data/Person/Norway/Thorvald Eiriksson.tsv	view_person	ソーヴァル・エイリークソン	0	1000	0	9948341	Leif Erikson
LeifErikson	Data/Person/Norway/Leif Erikson.tsv	view_person	レイフ・エリクソン	0	1000	0	9948341	Leif Erikson
EriktheRed	Data/Person/Norway/Erik the Red.tsv	view_person	赤毛のエイリーク	0	1000	0	9948341	Leif Erikson
