Sample ID	Skeletal code	Y chromosome haplogroup	mtDNA haplogroup	Coverage	Date	Culture / Split Label	Broad chronological / archaeological period	Location	Latitude, Longitude
I0233	SVP13, Novosel'ki, kurgan 2, grave 4	R1	U5a1i	0.03	1850-1200 BCE	Srubnaya	Middle / Late Bronze Age	Samara, Tatarstan oblast, forest-steppe zone, Novosel'ki	54.736972, 48.171228
I4568	KZ-KAR-006, Kairan I, Enclosure 11, Grave 3	R1(xR1b)	T1a1	0.199563	1745-1636 calBCE (3395±20 BP, PSUAMS-2546)	Kairan_MLBA	Middle / Late Bronze Age	Kairan	48.74175, 76.99573333
I1012	967, kurgan 2, burial 4, skeleton 6 / 971, kurgan 2, burial 8, skeleton 1	R1(xR1b1)	U2e1h	0.293272	2130-1750 BCE [based on five directly dated samples: 2023-1782 calBCE (3572±29 BP, OxA-12530); 1973-1772 calBCE (3549±29 BP, OxA-12531); 2005-1780 calBCE (3440±30 BP, Beta-436293); 2130-1930 calBCE (3520±30 BP, Beta-436294)]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I2954	Grave 5, Individual 1 in a double burial , SSI G5 6	A	H2	0.005	403-360 calBCE (2296±19 BP, CIRCE-DSH-5624)	Saidu_Sharif_H_LowCov	Antiquity and Medieval	Swat Valley, Saidu Sharif	34.75700556, 72.36238056
I11562	Grave 31, Skeleton 2 in a multiple burial , PARWAK28	BT	..	0.001503	1-1000 CE	Parwak_Medieval_LowCov	Antiquity and Medieval	Swat Valley, Parwak	36.280247, 72.414702
I11565	Grave 31 (?), unassigned skeleton probably in a multiple burial , PARWAK32	GHIJK	J1b1	0.008873	1-1000 CE	Parwak_Medieval_LowCov	Antiquity and Medieval	Swat Valley, Parwak	36.280247, 72.414702
I12257	UfaNov17-053, Ksirov 1984, kurgan 7, enclosure 3, Ksirov III	Not dermined	J1b6	0.004229	200 BCE - 100 CE [based on other dates from same site]	Ksirov_H_Kushan_LowCov	Iron Age	Ksirov	37.41563, 68.17371
I12293	UfaNov17-052, Ksirov 1979, kurgan 8 (SE group), Ksirov III	Not dermined	U2e1e	0.021724	200 BCE - 100 CE [based on other dates from same site]	Ksirov_H_Kushan	Iron Age	Ksirov	37.41563, 68.17371
I12260	UfaNov17-049, Ksirov IV, tomb 26 Ksirov IV	R	U2e1e	0.112875	200-1 BCE [based on being a first degree relative of an individual with a direct date of 166-44 calBCE (2075±20 BP, PSUAMS-6159)]	Ksirov_H_Kushan_1d.rel.I12292	Iron Age	Ksirov	37.41563, 68.17371
I12140	Grave unrecorded, 559	CT	..	0.009737	1000-800 BCE	Katelai_IA_1d.rel.I10523_LowCov	Late Bronze / Iron Age	Swat Valley, Katelai	34.76584167, 72.34913333
I3261	Grave 27, Individual 1 in a double burial , DA-UDE0317-020	DE	..	0.021606	1200-800 BCE	Udegram_IA_1d.rel.of.I1985	Late Bronze / Iron Age	Swat Valley, Udegram	34.74876389, 72.30835833
I1992	Grave 29, Individual 1 in a double burial , UDG12	E	H2a2	0.039648	1195-978 calBCE (2890±30 BP, Beta-428665)	Udegram_IA_o	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I12980	Grave 145, single burial , 709	Not dermined	D4j1b	0.020434	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.75146111, 72.40193611
I13221	Grave 176, Individual 2 in a double burial , 932	R	A+152+16362	0.100439	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.75146111, 72.40193611
I12466	Grave 68, Individual 2 (A) in a double burial , 604	R1	..	0.002483	1000-800 BCE	Katelai_IA_LowCov	Late Bronze / Iron Age	Swat Valley, Katelai	34.76584167, 72.34913333
I8529	MOS326, Geoksyur 1, 1965, N206, IE-10-8	Q-L56 (xL53)	U	0.09774	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I11526	Aigyrzhal K.67	Q-L56>Y2659>Z5902>Y6802	R6a2	1.507304	2203-2041 calBCE (3735±20 BP, PSUAMS-4607)	Aigyrzhal_BA	Bronze Age	Aigyrzhal	41.431467, 75.885481
I7493	UZ-ST-010, Sappali Tepe (ST) 1975, 6, Grave 02-05	Q-L275>Y1150 (xYP4500, YP3943)	U2e2a1d	0.361499	2000-1600 BCE	Sappali_Tepe_BA_o	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I3950	StPet48, collection 6612, individual 2	Q-L56>Y2659>Z5902>Y6802 	U5b2a1a+16311	3.759	2878-2636 calBCE (4160±25 BP, PSUAMS-1955)	Afanasievo	Early / Middle Bronze Age	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	54.335899, 91.793907
I3949	StPet47, collection 6612, individual 1	Q-L56>Y2659>Z5902>Y6802	U5a1d2b	3.928	2837-2498 calBCE (4075±20 BP, PSUAMS-2292)	Afanasievo_son.I3388_son.I3950_brother.I6714	Early / Middle Bronze Age	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	54.335899, 91.793907
I6714	StPet49, collection 6612, individual 3	Q-L56-Y2659>Z5902>Y6802	U5a1d2b	3.611174	2617-2472 calBCE (4020±25 BP, PSUAMS-3909)	Afanasievo_son.I3388_son.I3950_brother.I3949	Early / Middle Bronze Age	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	54.35661, 90.919186
I11734	Kurgan 4, burial 1, skeleton 2	Q-L56>Y2659>L940>pre-L933	U4a	0.878909	3022-2911 calBCE (4360±20 BP, PSUAMS-4619)	Kumsay_EBA	Early / Middle Bronze Age	Kumsay, Kyryk Oba	49.49, 58.51
I3976	CII No 43, stone fencing 1, extension 1	Q-L56>L53>L54>L330>YP771>L332	U5b2a1a2	1.429	1191-1010 calBCE (2900±20 BP, PSUAMS-2506)	Zevakinskiy_LBA	Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.8367833
I1007	957, kurgan 4, burial 5, skeleton 2	Q-L56 (xL53,L527,L933,Y48703,Z5902)	U2e1'2'3	0.108994	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA_o1	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I8506	MOS309, 1955, Kokcha 3 1955, Grave N77, IE-60-I9	Q-M25>L712>F4747>F5005*	T	0.707453	1738-1623 calBCE (3375±20 BP, PSUAMS-5275)	Kokcha_BA	Middle / Late Bronze Age	Kokcha 3	40.54, 64.99
I1017	978, kurgan 2, burial 16	Q-L56>Y2659>Z5902>Y6802>Y6826* 	H6b1	0.36	1929-1753 calBCE (3520±30 BP, Beta-436294)	Sintashta_MLBA_o1	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I6717	StPet58, collection 3390, individual 5	Q-L56>Y2659>L940* (xL932, L527)	T1a1	4.139634	1497-1406 calBCE (3160±20 BP, PSUAMS-4447)	Krasnoyarsk_MLBA_o	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I4784	KZ-KUZ-001, Grave 46	Q-L56>Y2659>L940>L932>L933* 	G2a1	4.481	1618-1513 calBCE (3290±20 BP, PSUAMS-2613)	Kyzlbulak_MLBA2	Middle / Late Bronze Age	Kyzyl Bulak 1	43.24655, 77.813814
I7718	Grave 5, Individual 2 in a double burial , DA-SIM0317-029	Q-L275>Y1150* (xY1144)	K1b1a1+199	2.073666	400-200 BCE	Saidu_Sharif_H	Antiquity and Medieval	Swat Valley, Saidu Sharif	34.7570056, 72.3623806
I12134	Grave 136, Individual 1 (B) in a double burial , 543	Q-M25>L712>F4747>F5005*	M30g	2.354609	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I13228	Grave 168, single burial , 939	Q-L275>Y1150 (xYP4500, YP755)	M5a	1.682646	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I5400	Grave 170, single burial	Q-L275>Y1150 (xYP4500, YP755)	M5a	1.969	927-831 calBCE (2745±20 BP, PSUAMS-2793)	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I6047	Tomsk_2124, inventory number 2124	R1a-Z93	R1b	0.312	1384-1213 calBCE (3025±20 BP, PSUAMS-2917)	Priobrazhenka_LBA	Late Bronze Age	Priobrazhenka 3	55.51, 77.05
I11541	burial 8	R1a-Z2124	N1a1a1a1	1.119765	1869-1665 calBCE (3430±20 BP, PSUAMS-5724)	Georgievsky_LBA	Late Bronze Age	Georgievsky Bugor	50.4501, 57.0400556
I4295	KZ-KP-001, Цмк, кп27390, (Tsentralnoi Musey Kazakhstan), 9а	R1a-Z93	A8a1	13210	1211-1056 calBCE (2935±20 BP, PSUAMS-2515)	Zevakinskiy_LBA	Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.8367833
I3753	CII No 51, stone fencing 43, skull 1	R1a-Z2124	K1	1.973	1111-941 calBCE (2860±20 BP, PSUAMS-2540)	Zevakinskiy_LBA	Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.8367833
I11537	Kurgan 2	R1a-Z93	U4a1	2.65204	752-416 calBCE (2455±20 BP, PSUAMS-5721)	Chanchar2_LBA	Late Bronze Age	Chanchar	50.6686583, 57.7185694
I3763	CII-47, stone fencing 35, grave 1	R1a-Z2123ЮY20746	U2a	1.505	1609-1443 calBCE (3240±25 BP, PSUAMS-2502)	Zevakinskiy_MLBA	Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.8367833
I4267	KZ-KP-004, Цмк, кп27390, (Tsentralnoi Musey Kazakhstan), 6а	R1a-Z2123	I2	3.761	1193-1013 calBCE (2905±20 BP, PSUAMS-2512)	Zevakinskiy_LBA	Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.83678333
I11540	burial 3	R1a-Z2123	A1a	2.798855	130-240 calCE (1825±20 BP, PSUAMS-5723)	Kazakhstan_LIA_Georgievsky_published	Late Iron  Age	Georgievsky Bugor	50.4501, 57.0400556
I1006	956, kurgan 4, burial 5, skeleton 1	R1a-M420	U5a1c	0.069187	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I4773	KZ-AKT-002, Object 7, burial enclosure 2, Grave 2	R1a-YP4141>YP4132	U5a1a2a	5.029	1618-1513 calBCE (3290±20 BP, PSUAMS-2607)	Aktogai_MLBA	Middle / Late Bronze Age	Aktogai	46.9658667, 80.0347333
I4791	KZ-DJA-006, Oy-Dzhaylau 7, Grave 5 (Construction 3)	R1a-Z2124	J1b1a1	0.116	1609-1450 calBCE (3245±20 BP, PSUAMS-2548)	Oy_Dzhaylau_MLBA	Middle / Late Bronze Age	Oy-Dzhaylau III	42.6894333, 73.1174833
I1082	983, kurgan 2, burial 12, skeleton 1	R1a-Z93	U5b2a1a2	0.304	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I0360	SVP8, Spiridonovka IV, kurgan 1, grave 11	R1a-Z645	U5a1	0.099189	2050-1650 BCE [1st degree relative of I0354 with date of BCE 2014-1692 calBCE (3517±56 BP, AA-47809)]	Srubnaya_1d.rel.I0354	Middle / Late Bronze Age	Samara, Samara River, Spiridonovka IV	53.03, 50.39
I4322	KZ-KAZ-005, Kazakh Mys 2015, Area 1, Grave 1	R1a-Z2124	U2e1h	0.841	1611-1503 calBCE (3270±20 BP, PSUAMS-2544)	Kazakh_Mys_MLBA	Middle / Late Bronze Age	Kazakh Mys	46.94785, 79.9880833
I7208	RDVS_40/78, Radovesice III, "Za kostelem”, Grave 40/78, National Museum No. P7A 9319 , Radovesice	R1a-M417>CTS4385	U5a1b	1.96227	2464-2295 calBCE (3885±25 BP, PSUAMS-3888)	Corded_Ware_Czech_EN	Middle / Late Bronze Age	Radovesice III	50.5390744, 13.8288292
I1084	991, kurgan 2, burial 7, skeleton 3	R1a-Z2124	U2e2a	0.262	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1058	955, kurgan 4, burial 2, skeleton 6	R1a-Z2123	U5a1i1	0.691	1906-1743 calBCE (3500±30 BP, Beta-436363)	Sintashta_MLBA_o2_brother.I1057_brother.I1056	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I0361	SVP9, Spiridonovka IV, kurgan 2, grave 5	R1a-Z2124	H5b	0.692967	1850-1200 BCE	Srubnaya	Middle / Late Bronze Age	Samara, Samara River, Spiridonovka IV	53.03, 50.39
I7207	RDVS_04/81, Radovesice XVIII, "Na vyhlídce", Grave 4/81, National Museum No. P7A 17 333	R1a-M417	W3a1	1.863154	2559-2340 calBCE (3935±25 BP, PSUAMS-3887)	Corded_Ware_Czech_EN	Middle / Late Bronze Age	Radovesice XVIII	50.5447396, 13.8351164
I7209	RDVS_5/79, Radovesice X, "U bílinské silnice", Grave 5/79, National Museum No. P7A 9322	R1a-M417>CTS4385	J1c2	4.120915	2458-2207 calBCE (3850±25 BP, PSUAMS-4026)	Corded_Ware_Czech_EN	Middle / Late Bronze Age	Radovesice X	50.54412, 13.834065
I8507	MOS310, Kokcha 3 1954, Grave N5, Skull N1, IE-60-20	R1a-M417	U2e2a1d	0.260116	2500-1500 BCE	Kokcha_BA	Middle / Late Bronze Age	Kokcha 3	40.54, 64.99
I1008	960, kurgan 4, burial 5, skeleton 5	R1a-Z2124	T1a1	0.313842	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1086	1005, kurgan 2, burial 9, skeleton 1	R1a-Z645	T1a1	0.555	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I10140	KZ-AKT-006, Object 7, kurgan 3, burial 1 (south)	R1a-Z93	U4a1	1.03763	1400-1200 BCE	Aktogai_MLBA	Middle / Late Bronze Age	Aktogai	46.9658667, 80.0347333
I1065	1016, kurgan 2, burial 5, skeleton 4	R1a-Z2124	H6a1a	0.164	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1056	953, kurgan 4, burial 2, skeleton 4	R1a-Z2123	U5a1i1	0.454	1886-1695 calBCE (3475±30 BP, PSUAMS-2101)	Sintashta_MLBA_o2_brother.I1057_brother.I1058	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I6789	Tomsk_4335, inventory number 4335, Kurgan 6, burial 1	R1a-Z2125>S23592	T1a1	3.777477	1877-1693 calBCE (3455±20 BP, PSUAMS-2922)	Maitan_MLBA_Alakul	Middle / Late Bronze Age	Maitan	50.09, 74.44
I6794	Tomsk_4347, inventory number 4347, Kurgan 29b, burial 1	R1a-Z2124	U4b1a1a1	4.087137	1876-1688 calBCE (3445±20 BP, PSUAMS-2926)	Maitan_MLBA_Alakul	Middle / Late Bronze Age	Maitan	50.09, 74.44
I6793	Tomsk_4346, inventory number 4346, Kurgan 27a, burial 1	R1a-Z2125>S23592	HV6	4.057975	1745-1636 calBCE (3395±20 BP, PSUAMS-2925)	Maitan_MLBA_Alakul	Middle / Late Bronze Age	Maitan	50.09, 74.44
I3393	StPet61, collection 3864, individual 1	R1a-Z2125>S23592>YP1558	U5b2b	1.18	1900-1400 BCE	Krasnoyarsk_MLBA_father.or.son.I6718	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I3392	StPet60, collection 3390, individual 7	R1a-Z2125>S23592	U2e2a1d	2.188	1900-1400 BCE	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I4774	KZ-AKT-008, Object 7, Kurgan 4	R1a-Z2125>S23592	J1c5a	4.541	1615-1509 calBCE (3285±20 BP, PSUAMS-2608)	Aktogai_MLBA	Middle / Late Bronze Age	Aktogai	46.9658667, 80.0347333
I1821	SS8993-8, Potroshilovo II, enclosure 5, grave 1	R1a-Z645	T1a1	0.477	1612-1506 calBCE (3275±20 BP, PSUAMS-2435)	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Minusinsk Basin, Potroshilovo II	53.87313333, 91.46046667
I6718	StPet64, collection 3864, individual 4	R1a-Z2125>S23592>YP1558	U4a	3.933119	1616-1501 calBCE (3275±25 BP, PSUAMS-3911)	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I1851	SS7800-24, Ust-Bir IV, grave 28	R1a-Z2125>S23592	H2b	0.495	1611-1459 calBCE (3255±20 BP, PSUAMS-2436)	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Minusinsk Basin, Ust-Bir IV	54.1793167, 91.5788667
I4783	KZ-KAZ-006, Kazakh Mys 2015, Area 3, Grave 1	R1a-Z2125>S23592	H1	2.431	1610-1454 calBCE (3250±20 BP, PSUAMS-2612)	Kazakh_Mys_MLBA	Middle / Late Bronze Age	Kazakh Mys	46.94785, 79.9880833
I12499	MOS308, Kokcha 3 1951, Grave N90, IE-60-8, 659	R1a-Z2125>YP413	U5b1e1	3.155089	1497-1318 calBCE (3145±25 BP, PSUAMS-5284)	Kokcha_BA	Middle / Late Bronze Age	Kokcha 3	40.54, 64.99
I4153	UZ-KKC-001, Kashkarchi, burial N. 1, 14-46	R1a-Z645	U5b2b	0.635	1200-1000 BCE	Kashkarchi_BA	Middle / Late Bronze Age	Ferghana, Burial Kashkarchi	40.37722222, 71.855
I4255	UZ-KKC-003, Kashkarchi, N. 3, 14-47	R1a-Z93	N1a1a1a1	2.486	1200-1000 BCE	Kashkarchi_BA	Middle / Late Bronze Age	Ferghana, Burial Kashkarchi	40.3772222, 71.855
I3396	StPet65, collection 3864, individual 5	R1a-Z2125>S23592>YP1558	T2b34	3.483	1900-1400 BCE	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I3767	AI-1, Kurgan 2	R1a-Z2125>S23592	U5b2b	1.877	1869-1665 calBCE (3430±20 BP, PSUAMS-2496)	Ak_Moustafa_MLBA1	Middle / Late Bronze Age	Ak-Moustafa	47.7779833, 72.0096833
I0424	SVP32, Uvarovka I, kurgan 2, grave 1	R1a-Z93	T2b4	0.818094	1850-1600 BCE	Srubnaya	Middle / Late Bronze Age	Samara, Samara River, Uvarovka I	53.12, 48.37
I3391	StPet59, collection 3390, individual 6	R1a-Z2125>S23592>YP1456	U5b2c	1.932	1900-1400 BCE	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I4265	KZ-AKT-003, Object 7, burial enclosure 2, Grave 3	R1a-Z2125>S23592	N1a1a1a1	3.964	1640-1527 calBCE (3310±20 BP, PSUAMS-2511)	Aktogai_MLBA	Middle / Late Bronze Age	Aktogai	46.9658667, 80.0347333
I0232	SVP12, Novosel’ki, kurgan 6, grave 1	R1a-Z93>FGC82884>FGC42858	U5a1f2	8.649537	1850-1200 BCE	Srubnaya	Middle / Late Bronze Age	Samara, Tatarstan oblast, forest-steppe zone, Novosel'ki	54.736972, 48.171228
I1018	980, kurgan 2, burial 17, skeleton 2	R1a-Z2124	T2e2	0.347	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1055	952, kurgan 4, burial 2, skeleton 3	R1a-Z94	U2e1h	0.335	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I3394	StPet62, collection 3864, individual 2	R1a-Z2125>S23592	U4a1	2.759	1900-1400 BCE	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I0419	SVP27, Utyevka VI, kurgan 7, grave 1	R1a-Z2123	U2e1	0.728242	2200-1900 BCE	Potapovka	Middle / Late Bronze Age	Samara, Samara River, Utyevka VI	52.91277778, 50.99055556
I3770	CII-52, stone fencing 90	R1a-Z2123	T1a1	1.017	2132-1940 calBCE (3645±25 BP, PSUAMS-2079)	Zevakinskiy_BA	Middle / Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.83678333
I0984	992, kurgan 2, burial 7, skeleton 4 / 996, kurgan 2, burial 6, skeleton 2	R1a-Z2123	T2e2	0.990519	2023-1782 calBCE (3572±29 BP, OxA-12530)	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I1027	1000, kurgan 2, burial 6, skeleton 6 / 1002, kurgan 2, burial 6, skeleton 8 / 1006, kurgan 2, burial 9, skeleton 2	R1a-Z2123>Y934>Y874	T1a1	3.648	1962-1775 calBCE (3550±25 BP, PSUAMS-1954)	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1057	954, kurgan 4, burial 2, skeleton 5	R1a-Z2123	U5a1i1	2.131	1949-1772 calBCE (3540±25 BP, PSUAMS-1953)	Sintashta_MLBA_o2	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I0987	1013, kurgan 2, burial 5, skeleton 2	R1a-Z2123>Y934>Y874	..	0.420997	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1011	965, kurgan 2, burial 4, skeleton 4 / 966, kurgan 2, burial 4, skeleton 5	R1a-Z2123	U5a2+16294	1.942397	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I1019	981, kurgan 2, burial 3	R1a-Z2123	W1c	0.427	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I1053	946, kurgan 4, burial 11, skeleton 2	R1a-Z2123>Y934>Y874	H2b	21610	1922-1763 calBCE (3520±25 BP, PSUAMS-2064)	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I1054	949, kurgan 4, burial 11, skeleton 4	R1a-Z2123>Y934>Y874	H2b	2.463	1891-1746 calBCE (3495±25 BP, PSUAMS-1952)	Sintashta_MLBA_brother.I1053	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I4262	KZ-KAR-002, Karagash 1994, КВ. 4Г (Quad 4G), Grave 3	R1a-Z2123	K1a+195	3.111	1881-1695 calBCE (3465±25 BP, PSUAMS-2122)	Karagash_MLBA	Middle / Late Bronze Age	Karagash 2	48.78176667, 76.45303333
I1064	1010, kurgan 2, burial 8, skeleton 4	R1a-Z2123	H6a1a	45140	1879-1694 calBCE (3460±20 BP, PSUAMS-2102)	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I6799	Tomsk_4371, inventory number 4371, Kurgan 4, burial 1	R1a-Z2123	T1a1	3.784221	1876-1688 calBCE (3445±20 BP, PSUAMS-2981)	Satan_MLBA_Alakul	Middle / Late Bronze Age	Satan	49.12, 75.81
I0507	KzHS7, individual 1, Dali 1, burial 1	R1a-Z2123	U5a1a2a	2.114	1871-1636 calBCE (3420±30 BP, Beta-391199)	Dali_MLBA	Middle / Late Bronze Age	Byan Zherek, eastern spur, Dali	45.13237778, 79.36439444
I4263	KZ-KAR-004, Karagash 1994, КВ. 1A. (Quad 1A), Grave 1	R1a-Z2123>Y934>YP451	U5a1d2b	1.085	1861-1639 calBCE (3415±25 BP, PSUAMS-2123)	Karagash_MLBA	Middle / Late Bronze Age	Karagash 2	48.7817667, 76.4530333
I0430	SVP39, Spiridonovka II, kurgan 1, grave 1	R1a-Z2123	H3g	4.494341	1850-1600 BCE	Srubnaya	Middle / Late Bronze Age	Samara, Samara River, Spiridonovka II	53.08, 50.36
I3860	BI No 20, Grave 24, Section D-4	R1a-Z2123	R1b1	0.264	1734-1617 calBCE (3365±20 BP, PSUAMS-2492)	Oy_Dzhaylau_MLBA_o	Middle / Late Bronze Age	Oy-Dzhaylau III	42.68943333, 73.11748333
I4778	KZ-KAR-003, KВ-1В (Quad 1V), Grave 2, 1994	R1a-Z2123	H7b	2.107	1728-1546 calBCE (3345±20 BP, PSUAMS-2611)	Karagash_MLBA_father.or.son.I4262	Middle / Late Bronze Age	Karagash 2	48.78176667, 76.45303333
I3788	BI (XIII-XI BCE) No21	R1a-Z2123	U4b1a1a	0.339	1683-1532 calBCE (3330±20 BP, PSUAMS-2499)	Oy_Dzhaylau_MLBA	Middle / Late Bronze Age	Oy-Dzhaylau III	42.68943333, 73.11748333
I1856	SS8993-9, Potroshilovo II, enclosure 5, grave 3	R1a-Z2125	K1a+195	1.642	1685-1531 calBCE (3330±25 BP, PSUAMS-2067)	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Minusinsk Basin, Potroshilovo II	53.8731333, 91.4604667
I4790	KZ-DJA-004, Oy-Dzhaylau 7a, Grave 7 (Construction 3)	R1a-Z2123	W1	4.334	1527-1439 calBCE (3220±20 BP, PSUAMS-2547)	Oy_Dzhaylau_MLBA	Middle / Late Bronze Age	Oy-Dzhaylau III	42.68943333, 73.11748333
I4787	KZ-UKZ-002, Grave (?) 1, KV E7,	R1a-Z2123	H3g	4.599	1379-1196 calBCE (3015±20 BP, PSUAMS-2614)	Taldysay_MLBA1	Middle / Late Bronze Age	Aktobe, Koboda, Taldysay	48.2144, 67.0205
I10111	Tomsk_4377, inventory number 4377, Kurgan 3, burial 3	R1a-Z2123	U2e1h	4.669616	1400-900 BCE	Shoendykol_MLBA_Fedorovo	Middle / Late Bronze Age	Shoendykol	50.82, 75.6
I10112	Tomsk_4379, inventory number 4379, burial 7	R1a-Z2122	H2a1a	4.761182	1600-1400 BCE	Shoendykol_MLBA_Fedorovo	Middle / Late Bronze Age	Shoendykol	50.82, 75.6
I2960	Grave 233, Individual 1 in a double burial , UD T219 2+3	R1a-Z93	..	0.565291	1000-1250 CE [father.or.son of I2959 at 1037-1207 calCE (905±30 BP, Poz-83508)]	Udegram_Medieval_Ghaznavid_father.or.son.I2959	Antiquity and Medieval	Swat Valley, Udegram, Raja Gira	34.7487639, 72.3083583
I6891/I2955	Grave 11, single burial , DA-SIM0317-005	R1a-Z94	R5a2	3.842956	431-168 calBCE [431-381 calBCE (2346±21 BP, CIRCE-DSH-6526), 361-168 calBCE [361-168 calBCE (2180±30 BP, PSUAMS-3984), 358-181 calBCE (2185±20 BP, PSUAMS-4424)]	Saidu_Sharif_H	Antiquity and Medieval	Swat Valley, Saidu Sharif	34.7570056, 72.3623806
I2959	Grave 233, Individual 2 in a double burial , UD T219 1	R1a-Z93	M5a1	1.435	1037-1207 calCE (905±30 BP, Poz-83508)	Udegram_Medieval_Ghaznavid	Antiquity and Medieval	Swat Valley, Udegram, Raja Gira	34.7487639, 72.3083583
