ソート	地方＆都道府県番号	ID	国名2文字	国名	地方番号	地方	都道府県番号	都道府県			緯度	経度	遺跡	Site Name	標本番号	性別	年齢	可視化開始ユリウス日=IF(S2="","",ROUND((S2-R2/2)*365.2425+1721242,0))	可視化終了ユリウス日=IF(S2="","",ROUND((S2+R2/2)*365.2425+1721242,0))	ユリウス日=IF(S2="","",ROUND(S2*365.2425+1721242,0))	可視化する年代幅=IF(S2="","",-0.4*IF(S2>1400,1400,S2)+680)	時代(数値のみ)	時代	14C年代	較正14C年代(1σ)	較正14C年代(2σ)		年代	年代補足	ハプログループ結果	使用部位	APLP	PCR-Luminex	その他	その他手法				NGS	手法	(Quality)	NGS	手法	(Quality)	Schmutziによる汚染率推定 [min, max]		Y	Y新	文献1	文献2	文献3	文献4	文献5
JP10416	416	210	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.39			-156104	676648	260272	2280	-4000	縄文時代前期											ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	211	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.41			-156104	676648	260272	2280	-4000	縄文時代前期									ND		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	212	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.42			-156104	676648	260272	2280	-4000	縄文時代前期											ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	213	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.44			-156104	676648	260272	2280	-4000	縄文時代前期							N9b		N9	N9b	N9b	Dグループから予想されるハプログループ														[43]				
JP10416	416	214	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.45			-156104	676648	260272	2280	-4000	縄文時代前期											ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	215	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.48			-156104	676648	260272	2280	-4000	縄文時代前期							M7		M7		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	216	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.52			-156104	676648	260272	2280	-4000	縄文時代前期									ND		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	217	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.55			-156104	676648	260272	2280	-4000	縄文時代前期							A		A	ND	A	Dグループから予想されるハプログループ														[43]				
JP10416	416	218	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.56			-156104	676648	260272	2280	-4000	縄文時代前期									ND		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	219	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.64			-156104	676648	260272	2280	-4000	縄文時代前期							N9b		N9	ND	N9b	Dグループから予想されるハプログループ														[43]				
JP10416	416	220	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.70			-156104	676648	260272	2280	-4000	縄文時代前期									ND		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	221	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.71			-156104	676648	260272	2280	-4000	縄文時代前期									ND		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	222	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.73			-156104	676648	260272	2280	-4000	縄文時代前期									ND		ND	Dグループから予想されるハプログループ														[43]				
JP10416	416	223	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.76			-156104	676648	260272	2280	-4000	縄文時代前期							N9b		N9	N9b	N9b	Dグループから予想されるハプログループ														[43]				
JP10416	416	224	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.77			-156104	676648	260272	2280	-4000	縄文時代前期							M7a		ND	M7a	M7a	Dグループから予想されるハプログループ														[43]				
JP10416	416	225	JP	日本	4	中部地方	16	富山県			36.7242	137.165	小竹貝塚		No.78			-156104	676648	260272	2280	-4000	縄文時代前期							N9b		N9	N9b	N9b	Dグループから予想されるハプログループ														[43]				
JP10101	101	226	JP	日本	1	北海道地方	1	北海道			44.025	144.267694	モヨロ貝塚	Moyoro	MYR-1			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	227	JP	日本	1	北海道地方	1	北海道			44.025	144.267694	モヨロ貝塚	Moyoro	MYR-2			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	228	JP	日本	1	北海道地方	1	北海道			44.025	144.267694	モヨロ貝塚	Moyoro	MYR-3			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	229	JP	日本	1	北海道地方	1	北海道			44.025	144.267694	モヨロ貝塚	Moyoro	MYR-4			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	230	JP	日本	1	北海道地方	1	北海道			44.025	144.267694	モヨロ貝塚	Moyoro	MYR-5			1969826	2093935	2031881	339.8	850.5	5th-13th							N9b		N9b																	[44]				
JP10101	101	231	JP	日本	1	北海道地方	1	北海道			44.070833	144.993888	ウトロ遺跡	Utoro	UTR-4			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	232	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-1			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	233	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-2			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	234	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-3			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	235	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-4			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	236	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-5			1969826	2093935	2031881	339.8	850.5	5th-13th							A		A																	[44]				
JP10101	101	237	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-6			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	238	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-7			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	239	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-8			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	240	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-10			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	241	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	大岬遺跡	Omisaki	OMS-11			1969826	2093935	2031881	339.8	850.5	5th-13th							M7a		M7a																	[44]				
JP10101	101	242	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-1			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	243	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-2			1969826	2093935	2031881	339.8	850.5	5th-13th							C3		C3																	[44]				
JP10101	101	244	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-3			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	245	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-4			1969826	2093935	2031881	339.8	850.5	5th-13th							N9b		N9b																	[44]				
JP10101	101	246	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-5			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	247	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-6			1969826	2093935	2031881	339.8	850.5	5th-13th							Y		Y																	[44]				
JP10101	101	248	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-7			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	249	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-8			1969826	2093935	2031881	339.8	850.5	5th-13th							N9b		N9b																	[44]				
JP10101	101	250	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-9			1969826	2093935	2031881	339.8	850.5	5th-13th							N9b		N9b																	[44]				
JP10101	101	251	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-10			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	252	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-11			1969826	2093935	2031881	339.8	850.5	5th-13th							G1b		G1b																	[44]				
JP10101	101	253	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-12			1969826	2093935	2031881	339.8	850.5	5th-13th							C3		C3																	[44]				
JP10101	101	254	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-13			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	255	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-14			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	256	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-15			1969826	2093935	2031881	339.8	850.5	5th-13th							A		A																	[44]				
JP10101	101	257	JP	日本	1	北海道地方	1	北海道			45.4328	141.0018	浜中	Hamanaka	HMN-16			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
RU10000	0	258	RU	ロシア連邦		サハリン		サハリン			46.72315	142.532044	Susuya	Susuya	SSY-1			1969826	2093935	2031881	339.8	850.5	5th-13th							Y		Y																	[44]				
JP10101	101	259	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	Pirikatai	Pirikatai	PRK-1			1969826	2093935	2031881	339.8	850.5	5th-13th							M7a		M7a																	[44]				
JP10101	101	260	JP	日本	1	北海道地方	1	北海道			45.52152402	141.9378463	Tomiiso	Tomiiso	TMI-1			1969826	2093935	2031881	339.8	850.5	5th-13th							Y1a1		Y1a1																	[44]				
JP10101	101	261	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari	FND-1			1969826	2093935	2031881	339.8	850.5	5th-13th							A		A																	[44]				
JP10101	101	262	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari	FND-2			1969826	2093935	2031881	339.8	850.5	5th-13th							B5b		B5b																	[44]				
JP10207	207	263	JP	日本	2	東北地方	7	福島県			37.84458338	140.9056198	三貫地貝塚		131421-1	女性?		1036705	1471854	1254279	1191.4	-1278.5	縄文時代後期～晩期(他文献)							M7a2																			[45]				
JP10207	207	264	JP	日本	2	東北地方	7	福島県			37.84458338	140.9056198	三貫地貝塚		131421-2	男性		1036705	1471854	1254279	1191.4	-1278.5	縄文時代後期～晩期(他文献)							M7a2																			[45]				
JP10207	207	265	JP	日本	2	東北地方	7	福島県			37.84458338	140.9056198	三貫地貝塚		131421-3	男性		1059276	1486902	1273089	1170.8	-1227	(3177ybpとするデータ有) 縄文時代後期～晩期(他文献)							N9b*																	(D1a とするデータ有)	(D-CTS3097 とするデータ有)	[45]				
JP10207	207	266	JP	日本	2	東北地方	7	福島県			37.84458338	140.9056198	三貫地貝塚		131464	女性		1014133	1456806	1235469	1212	-1330	(3280ybpとするデータ有) 縄文時代後期～晩期(他文献)							N9b2																			[45]				
JP10101	101	267	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	Ohnuma			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							N9b1		N9b1																	[46]				
JP10101	101	268	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 5, F5	男性		851965	1348695	1100330	1360	-1700	3,800-3,500 years BP							N9b1		N9b1							N9b1	Kanzawa-Kiriyama et al.[2017]					0 (0.0-0.5)		D1b2b		[46]	[47]			
JP10101	101	269	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 6			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP							N9b1		N9b1																	[46]				
JP10101	101	270	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 7			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP							N9b1		N9b1																	[46]				
JP10101	101	271	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 10			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							D4h2		D4h2																	[46]				
JP10101	101	272	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 11			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							M7a*		M7a*																	[46]				
JP10101	101	273	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 12			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							D4h2		D4h2																	[46]				
JP10101	101	274	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 13			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							N9b1		N9b1																	[46]				
JP10101	101	275	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 15			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							N9b1		N9b1																	[46]				
JP10101	101	276	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 16			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							D4h2		D4h2																	[46]				
JP10101	101	277	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 17			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							D4h2		D4h2																	[46]				
JP10101	101	278	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 18			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							N9b1		N9b1																	[46]				
JP10101	101	279	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 19			851965	1348695	1100330	1360	-1700	3,800-3,500 years BP (4200ybp とされるデータもあり)							N9b1		N9b1																	[46]				
JP10101	101	280	JP	日本	1	北海道地方	1	北海道			45.41584666	141.0183345	船泊遺跡	Funadomari Site (late Jomon; 3,800-3,500 years BP)	No. 23, F23	女性		805944	1318014	1061979	1402	-1805	3550-3960; 3755 (より精度が低い3,800-3,500 years BP)							N9b1		N9b1							N9b1	Kanzawa-Kiriyama et al.[2017]					0 (0.0-0.5)				[46]	[47]	[48]		
JP10101	101	281	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	A-No. 8 (child)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	282	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	B-No. 3A			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	283	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	B-No. 3B			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	284	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	C-No. 4			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b*		N9b*																	[46]				
JP10101	101	285	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	D-No. 7♂			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	286	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	D-No. 7♀			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							G1b		G1b																	[46]				
JP10101	101	287	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	D-H5 first shell layer			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	288	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	F-H5-No. 12			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b*		N9b*																	[46]				
JP10101	101	289	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	G-No.13-1011			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							M7a2		M7a2																	[46]				
JP10101	101	290	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	J-No. 16A			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							D4h2		D4h2																	[46]				
JP10101	101	291	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	K-No. 16B			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	292	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	L-No.17-T. P. 3			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							D4h2		D4h2																	[46]				
JP10101	101	293	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	L-No.17 (adult)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							G1b		G1b																	[46]				
JP10101	101	294	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	L-No. 17 (child)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							G1b		G1b																	[46]				
JP10101	101	295	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	N-G5-1986			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	296	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	N-G5-No. 208			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							G1b		G1b																	[46]				
JP10101	101	297	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	N-G5 (1)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	298	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	N-G5 (106)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	299	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	N-G5 (180)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	300	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	N-G5 (229)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	301	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	有珠モシリ遺跡	Usu-Moshiri (latest to Epi-Jomon; about 2,500-2,000 years BP)	O-H4 (B3)			1465572	1757766	1611669	800	-300	2,500-2,000 years BP							G1b		G1b																	[46]				
JP10101	101	302	JP	日本	1	北海道地方	1	北海道			42.40177792	140.9122877	北黄金貝塚	Kita-Kogane (early Jomon; about 6,000 years BP)	No. 7			-156104	676648	260272	2280	-4000	(5950ybpとするデータ有) 6,000 years BP							M7a*		M7a*																	[46]				
JP10101	101	303	JP	日本	1	北海道地方	1	北海道			42.40177792	140.9122877	北黄金貝塚	Kita-Kogane (early Jomon; about 6,000 years BP)	No. 9			-156104	676648	260272	2280	-4000	(5950ybpとするデータ有) 6,000 years BP							D4h2		D4h2																	[46]				
JP10101	101	304	JP	日本	1	北海道地方	1	北海道			42.2229	140.3221	八雲コタン温泉遺跡	Yakumo-Kotan hot spring (early to middle Jomon; about 6,000-4,000 years BP)	No. 15			282187	968842	625515	1880	-3000	(4950ybpとするデータ有) 6,000-4,000 years BP							N9b*		N9b*																	[46]				
JP10101	101	305	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	入江貝塚	Irie (early to late Jomon; about 6,000-3,000 years BP)	No. 7			501332	1114939	808136	1680	-2500	(4450ybpとするデータ有) 6,000-3,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	306	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	入江貝塚	Irie (early to late Jomon; about 6,000-3,000 years BP)	No. 9			501332	1114939	808136	1680	-2500	(4450ybpとするデータ有) 6,000-3,000 years BP							M7a*		M7a* (M7a3とするデータ有)																	[46]				
JP10101	101	307	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	入江貝塚	Irie (early to late Jomon; about 6,000-3,000 years BP)	No. 12			501332	1114939	808136	1680	-2500	(4450ybpとするデータ有) 6,000-3,000 years BP							D4h2		D4h2																	[46]				
JP10101	101	308	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	入江貝塚	Irie (early to late Jomon; about 6,000-3,000 years BP)	Point B			501332	1114939	808136	1680	-2500	(4450ybpとするデータ有) 6,000-3,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	309	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	入江貝塚	Irie (early to late Jomon; about 6,000-3,000 years BP)	Road construction			501332	1114939	808136	1680	-2500	(4450ybpとするデータ有) 6,000-3,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	310	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	高砂貝塚	Takasago (latest Jomon; about 3,000-2,500 years BP)	1997No. 1			1246427	1611669	1429048	1000	-800	3,000-2,500 years BP							N9b1		N9b1																	[46]				
JP10101	101	311	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	高砂貝塚	Takasago (latest Jomon; about 3,000-2,500 years BP)	No. 13			1246427	1611669	1429048	1000	-800	3,000-2,500 years BP							N9b*		N9b* (N9b5とするデータ有)																	[46]				
JP10101	101	312	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	高砂貝塚	Takasago (latest Jomon; about 3,000-2,500 years BP)	No. 14			1246427	1611669	1429048	1000	-800	3,000-2,500 years BP							N9b1		N9b1																	[46]				
JP10101	101	313	JP	日本	1	北海道地方	1	北海道			42.547101	140.770199	高砂貝塚	Takasago (latest Jomon; about 3,000-2,500 years BP)	No. 21			1246427	1611669	1429048	1000	-800	3,000-2,500 years BP							N9b1		N9b1																	[46]				
JP10101	101	314	JP	日本	1	北海道地方	1	北海道			42.989691	144.401788	釧路緑ヶ丘遺跡	Kushiro-Midorigaoka (latest Jomon; about 3,000-2,500 years BP)	No. 8			1246427	1611669	1429048	1000	-800	(2700ybpとするデータ有) 3,000-2,500 years BP							N9b*		N9b*																	[46]				
JP10101	101	315	JP	日本	1	北海道地方	1	北海道			42.989691	144.401788	釧路テンネル貝塚	Kushiro-Ten-neru (Epi-Jomon; about 2,000 years BP))	No. 3-1			1575145	1830815	1702980	700	-50	(1949ybpとするデータ有) 2,000 years BP							N9b1		N9b1																	[46]				
JP10101	101	316	JP	日本	1	北海道地方	1	北海道			42.687164	140.026756	栄磯遺跡	Sakae-Iso (latest Jomon; about 3,000-2,500 years BP)	No. 1			1246427	1611669	1429048	1000	-800	(2700ybpとするデータ有) 3,000-2,500 years BP							N9b1		N9b1																	[46]				
JP10101	101	317	JP	日本	1	北海道地方	1	北海道			43.12140174	141.5367905	江別坊主山遺跡	Ebetsu-Bozuyama (Epi-Jomon; about 1,700 years BP)	No. 2			1706632	1918473	1812553	580	250	(1600ybpとするデータ有) 1,700 years BP							N9b1		N9b1																	[46]				
JP10101	101	318	JP	日本	1	北海道地方	1	北海道			42.51766474	140.7760594	南有珠6遺跡	Minami-Usu 6 (Epi-Jomon; about 2,000 years BP)	Minami-Usu 6			1597498	1845717	1721607	679.6	1	(1949ybpとするデータ有) 2,000 years BP							G1b		G1b																	[46]				
JP10101	101	319	JP	日本	1	北海道地方	1	北海道			45.50008783	141.8903512	オンコロマナイ遺跡	Onkoromanai (Epi-Jomon; about 2,000 years BP)	No. 1			1597498	1845717	1721607	679.6	1	(1949ybpとするデータ有) 2,000 years BP							D4h2		D4h2																	[46]				
JP10101	101	320	JP	日本	1	北海道地方	1	北海道			42.979936	140.509444	茶津2号洞穴遺跡	Chatsu-CaveNo. 2 (Epi-Jomon; about 2,000 years BP)	Chatsu 2 cave			1597498	1845717	1721607	679.6	1	(1949ybpとするデータ有) 2,000 years BP							N9b1		N9b1																	[46]				
